"distancia","__dt"
"2","2021-05-30 00:00:00.000"
"2","2021-05-30 00:00:00.000"
"2","2021-05-30 00:00:00.000"
"6","2021-05-30 00:00:00.000"
"6","2021-05-30 00:00:00.000"
"6","2021-05-30 00:00:00.000"
"6","2021-05-30 00:00:00.000"
"6","2021-05-30 00:00:00.000"
"6","2021-05-30 00:00:00.000"
"6","2021-05-30 00:00:00.000"
"5","2021-05-30 00:00:00.000"
"8","2021-05-30 00:00:00.000"
"9","2021-05-30 00:00:00.000"
"9","2021-05-30 00:00:00.000"
"6","2021-05-30 00:00:00.000"
"6","2021-05-30 00:00:00.000"
"6","2021-05-30 00:00:00.000"
"6","2021-05-30 00:00:00.000"
"6","2021-05-30 00:00:00.000"
"6","2021-05-30 00:00:00.000"
"6","2021-05-30 00:00:00.000"
"6","2021-05-30 00:00:00.000"
"2","2021-05-30 00:00:00.000"
"2","2021-05-30 00:00:00.000"
"2","2021-05-30 00:00:00.000"
"2","2021-05-30 00:00:00.000"
"2","2021-05-30 00:00:00.000"
"2","2021-05-30 00:00:00.000"
"2","2021-05-30 00:00:00.000"
"2","2021-05-30 00:00:00.000"
"7","2021-05-30 00:00:00.000"
"6","2021-05-30 00:00:00.000"
"6","2021-05-30 00:00:00.000"
"6","2021-05-30 00:00:00.000"
"6","2021-05-30 00:00:00.000"
"6","2021-05-30 00:00:00.000"
"6","2021-05-30 00:00:00.000"
"5","2021-05-30 00:00:00.000"
"5","2021-05-30 00:00:00.000"
"5","2021-05-30 00:00:00.000"
"9","2021-05-30 00:00:00.000"
"9","2021-05-30 00:00:00.000"
"9","2021-05-30 00:00:00.000"
"2","2021-05-30 00:00:00.000"
"2","2021-05-30 00:00:00.000"
"2","2021-05-30 00:00:00.000"
"2","2021-05-30 00:00:00.000"
"9","2021-05-30 00:00:00.000"
"9","2021-05-30 00:00:00.000"
"15","2021-05-30 00:00:00.000"
"2","2021-05-30 00:00:00.000"
"2","2021-05-30 00:00:00.000"
"2","2021-05-30 00:00:00.000"
"15","2021-05-30 00:00:00.000"
"15","2021-05-30 00:00:00.000"
"6","2021-05-30 00:00:00.000"
"2","2021-05-30 00:00:00.000"
"2","2021-05-30 00:00:00.000"
"2","2021-05-30 00:00:00.000"
"2","2021-05-30 00:00:00.000"
"2","2021-05-30 00:00:00.000"
"2","2021-05-30 00:00:00.000"
"2","2021-05-30 00:00:00.000"
"6","2021-05-30 00:00:00.000"
"6","2021-05-30 00:00:00.000"
"6","2021-05-30 00:00:00.000"
"6","2021-05-30 00:00:00.000"
"14","2021-05-30 00:00:00.000"
"14","2021-05-30 00:00:00.000"
"15","2021-05-30 00:00:00.000"
"15","2021-05-30 00:00:00.000"
"2","2021-05-30 00:00:00.000"
"2","2021-05-30 00:00:00.000"
"2","2021-05-30 00:00:00.000"
"2","2021-05-30 00:00:00.000"
"6","2021-05-30 00:00:00.000"
"6","2021-05-30 00:00:00.000"
"6","2021-05-30 00:00:00.000"
"7","2021-05-30 00:00:00.000"
"10","2021-05-30 00:00:00.000"
"10","2021-05-30 00:00:00.000"
"10","2021-05-30 00:00:00.000"
"12","2021-05-30 00:00:00.000"
"6","2021-05-30 00:00:00.000"
"7","2021-05-30 00:00:00.000"
"6","2021-05-30 00:00:00.000"
"6","2021-05-30 00:00:00.000"
"7","2021-05-30 00:00:00.000"
"6","2021-05-30 00:00:00.000"
"6","2021-05-30 00:00:00.000"
"2","2021-05-30 00:00:00.000"
"6","2021-05-30 00:00:00.000"
"6","2021-05-30 00:00:00.000"
"6","2021-05-30 00:00:00.000"
"6","2021-05-30 00:00:00.000"
"6","2021-05-30 00:00:00.000"
"6","2021-05-30 00:00:00.000"
"6","2021-05-30 00:00:00.000"
"2","2021-05-30 00:00:00.000"
"2","2021-05-30 00:00:00.000"
"2","2021-05-30 00:00:00.000"
"2","2021-05-30 00:00:00.000"
"7","2021-05-30 00:00:00.000"
"7","2021-05-30 00:00:00.000"
"6","2021-05-30 00:00:00.000"
"6","2021-05-30 00:00:00.000"
"6","2021-05-30 00:00:00.000"
"6","2021-05-30 00:00:00.000"
"6","2021-05-30 00:00:00.000"
"6","2021-05-30 00:00:00.000"
"5","2021-05-30 00:00:00.000"
"5","2021-05-30 00:00:00.000"
"5","2021-05-30 00:00:00.000"
"5","2021-05-30 00:00:00.000"
"2","2021-05-30 00:00:00.000"
"2","2021-05-30 00:00:00.000"
"2","2021-05-30 00:00:00.000"
"2","2021-05-30 00:00:00.000"
"6","2021-05-30 00:00:00.000"
"6","2021-05-30 00:00:00.000"
"6","2021-05-30 00:00:00.000"
"6","2021-05-30 00:00:00.000"
"15","2021-05-30 00:00:00.000"
"14","2021-05-30 00:00:00.000"
"15","2021-05-30 00:00:00.000"
"14","2021-05-30 00:00:00.000"
"6","2021-05-30 00:00:00.000"
"6","2021-05-30 00:00:00.000"
"6","2021-05-30 00:00:00.000"
"6","2021-05-30 00:00:00.000"
"7","2021-05-30 00:00:00.000"
"6","2021-05-30 00:00:00.000"
"6","2021-05-30 00:00:00.000"
"9","2021-05-30 00:00:00.000"
"9","2021-05-30 00:00:00.000"
"14","2021-05-30 00:00:00.000"
"21","2021-05-30 00:00:00.000"
"6","2021-05-30 00:00:00.000"
"6","2021-05-30 00:00:00.000"
"6","2021-05-30 00:00:00.000"
"6","2021-05-30 00:00:00.000"
"6","2021-05-30 00:00:00.000"
"7","2021-05-30 00:00:00.000"
"6","2021-05-30 00:00:00.000"
"6","2021-05-30 00:00:00.000"
"6","2021-05-30 00:00:00.000"
"2","2021-05-30 00:00:00.000"
"2","2021-05-30 00:00:00.000"
"2","2021-05-30 00:00:00.000"
"2","2021-05-30 00:00:00.000"
"2","2021-05-30 00:00:00.000"
"10","2021-05-30 00:00:00.000"
"21","2021-05-30 00:00:00.000"
"14","2021-05-30 00:00:00.000"
"14","2021-05-30 00:00:00.000"
"6","2021-05-30 00:00:00.000"
"7","2021-05-30 00:00:00.000"
"7","2021-05-30 00:00:00.000"
"6","2021-05-30 00:00:00.000"
"5","2021-05-30 00:00:00.000"
"5","2021-05-30 00:00:00.000"
"5","2021-05-30 00:00:00.000"
"5","2021-05-30 00:00:00.000"
"7","2021-05-30 00:00:00.000"
"6","2021-05-30 00:00:00.000"
"6","2021-05-30 00:00:00.000"
